Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
18:02:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:23         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:02:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:53         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:02:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:03:03         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:03:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:03:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:28         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:03:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:43         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:03:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:03:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:04:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:04:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:43         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:04:48         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:04:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:04:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:05:23         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:05:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:05:53         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:05:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:06:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:38         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:06:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:48         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:06:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:06:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:07:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:07:53         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:07:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:08:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:08         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:08:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:08:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:08:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:09:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:09:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:23         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:09:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:33         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:09:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:09:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:33         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:10:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:43         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:10:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:10:53         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:10:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:11:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:11:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:28         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:11:33         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:11:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:48         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:11:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:11:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:12:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:12:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:33         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:12:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:12:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:08         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:13:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:13:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:28         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:13:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:13:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
