Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48     %scpu-10  %scpu-60 %scpu-300     %scpu
18:04:23         0.00      0.00      0.00      0.01
18:04:28         0.00      0.00      0.00      0.06
18:04:33         0.00      0.00      0.00      0.06
18:04:38         0.00      0.00      0.00      0.07
18:04:43         0.00      0.00      0.00      0.05
18:04:48         0.00      0.00      0.00      0.02
18:04:53         0.00      0.00      0.00      0.03
18:04:58         0.00      0.00      0.00      0.03
18:05:03         0.00      0.00      0.00      0.07
18:05:08         0.00      0.00      0.00      0.02
18:05:13         0.00      0.00      0.00      0.06
18:05:18         0.00      0.00      0.00      0.07
18:05:23         0.00      0.00      0.00      0.05
18:05:28         0.00      0.00      0.00      0.07
18:05:33         0.00      0.00      0.00      0.05
18:05:38         0.00      0.00      0.00      0.06
18:05:43         0.00      0.00      0.00      0.04
18:05:48         0.00      0.00      0.00      0.08
18:05:53         0.00      0.00      0.00      0.05
18:05:58         0.00      0.00      0.00      0.03
18:06:03         0.00      0.00      0.00      0.02
18:06:08         0.00      0.00      0.00      0.03
18:06:13         0.00      0.00      0.00      0.19
18:06:18         0.00      0.00      0.00      0.03
18:06:23         0.00      0.00      0.00      0.02
18:06:28         0.00      0.00      0.00      0.05
18:06:33         0.00      0.00      0.00      0.05
18:06:38         0.00      0.00      0.00      0.04
18:06:43         0.00      0.00      0.00      0.02
18:06:48         0.00      0.00      0.00      0.06
18:06:53         0.00      0.00      0.00      0.04
18:06:58         0.00      0.00      0.00      0.03
18:07:03         0.00      0.00      0.00      0.08
18:07:08         0.00      0.00      0.00      0.05
18:07:13         0.00      0.00      0.00      0.03
18:07:18         0.00      0.00      0.00      0.10
18:07:23         0.00      0.00      0.00      0.03
18:07:28         0.00      0.00      0.00      0.04
18:07:33         0.00      0.00      0.00      0.05
18:07:38         0.00      0.00      0.00      0.05
18:07:43         0.00      0.00      0.00      0.08
18:07:48         0.00      0.00      0.00      0.05
18:07:53         0.00      0.00      0.00      0.08
18:07:58         0.00      0.00      0.00      0.07
18:08:03         0.00      0.00      0.00      0.05
18:08:08         0.00      0.00      0.00      0.02
18:08:13         0.00      0.00      0.00      0.05
18:08:18         0.00      0.00      0.00      0.06
18:08:23         0.00      0.00      0.00      0.05
18:08:28         0.00      0.00      0.00      0.01
18:08:33         0.00      0.00      0.00      0.07
18:08:38         0.00      0.00      0.00      0.05
18:08:43         0.00      0.00      0.00      0.05
18:08:48         0.00      0.00      0.00      0.06
18:08:53         0.00      0.00      0.00      0.02
18:08:58         0.00      0.00      0.00      0.04
18:09:03         0.00      0.00      0.00      0.12
