Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

21:18:51     %scpu-10  %scpu-60 %scpu-300     %scpu
21:35:26         0.00      0.00      0.00      0.08
21:35:31         0.00      0.00      0.00      0.18
21:35:36         0.00      0.00      0.00      0.05
21:35:41         0.00      0.00      0.00      0.05
21:35:46         0.00      0.00      0.00      0.08
21:35:51         0.00      0.00      0.00      0.10
21:35:56         0.00      0.00      0.00      0.05
21:36:01         0.00      0.00      0.00      0.01
21:36:06         0.00      0.00      0.00      0.00
21:36:11         0.00      0.00      0.00      0.19
21:36:16         0.00      0.00      0.00      0.15
21:36:21         0.00      0.00      0.00      0.07
21:36:26         0.00      0.00      0.00      0.03
21:36:31         0.00      0.00      0.00      0.14
21:36:36         0.00      0.00      0.00      0.20
21:36:41         0.00      0.00      0.00      0.05
21:36:46         0.00      0.00      0.00      0.07
21:36:51         0.00      0.00      0.00      0.06
21:36:56         0.00      0.00      0.00      0.14
21:37:01         0.00      0.00      0.00      0.02
21:37:06         0.00      0.00      0.00      0.02
21:37:11         0.00      0.00      0.00      0.07
21:37:16         0.00      0.00      0.00      0.04
21:37:21         0.00      0.00      0.00      0.10
21:37:26         0.00      0.00      0.00      0.04
21:37:31         0.00      0.00      0.00      0.02
21:37:36         0.00      0.00      0.00      0.07
21:37:41         0.00      0.00      0.00      0.03
21:37:46         0.00      0.00      0.00      0.04
21:37:51         0.00      0.00      0.00      0.07
21:37:56         0.00      0.00      0.00      0.07
21:38:01         0.00      0.00      0.00      0.09
21:38:06         0.00      0.00      0.00      0.01
21:38:11         0.00      0.00      0.00      0.05
21:38:16         0.00      0.00      0.00      0.10
21:38:21         0.00      0.00      0.00      0.02
21:38:26         0.00      0.00      0.00      0.02
21:38:31         0.00      0.00      0.00      0.04
21:38:36         0.00      0.00      0.00      0.03
21:38:41         0.00      0.00      0.00      0.03
21:38:46         0.00      0.00      0.00      0.11
21:38:51         0.00      0.00      0.00      0.06
21:38:56         0.00      0.00      0.00      0.05
21:39:01         0.00      0.00      0.00      0.06
21:39:06         0.00      0.00      0.00      0.03
21:39:11         0.00      0.00      0.00      0.03
21:39:16         0.00      0.00      0.00      0.07
21:39:21         0.00      0.00      0.00      0.02
21:39:26         0.00      0.00      0.00      0.09
21:39:31         0.00      0.00      0.00      0.05
21:39:36         0.00      0.00      0.00      0.03
21:39:41         0.00      0.00      0.00      0.04
21:39:46         0.00      0.00      0.00      0.10
21:39:51         0.00      0.00      0.00      0.02
21:39:56         0.00      0.00      0.00      0.03
21:40:01         0.00      0.00      0.00      0.07
21:40:06         0.00      0.00      0.00      0.04
21:40:11         0.00      0.00      0.00      0.14
21:40:16         0.00      0.00      0.00      0.02
21:40:21         0.00      0.00      0.00      0.06
21:40:26         0.00      0.00      0.00      0.03
21:40:31         0.00      0.00      0.00      0.13
21:40:36         0.00      0.00      0.00      0.08
21:40:41         0.00      0.00      0.00      0.03
21:40:46         0.00      0.00      0.00      0.07
21:40:51         0.00      0.00      0.00      0.06
21:40:56         0.00      0.00      0.00      0.04
21:41:01         0.00      0.00      0.00      0.02
21:41:06         0.00      0.00      0.00      0.08
21:41:11         0.00      0.00      0.00      0.04
21:41:16         0.00      0.00      0.00      0.05
21:41:21         0.00      0.00      0.00      0.06
