Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

06:07:14     %scpu-10  %scpu-60 %scpu-300     %scpu
06:42:09         0.00      0.00      0.00      0.00
06:42:14         0.00      0.00      0.00      0.00
06:42:19         0.00      0.00      0.00      0.00
06:42:24         0.00      0.00      0.00      0.00
06:42:29         0.00      0.00      0.00      0.00
06:42:34         0.00      0.00      0.00      0.00
06:42:39         0.00      0.00      0.00      0.00
06:42:44         0.00      0.00      0.00      0.00
06:42:49         0.00      0.00      0.00      0.00
06:42:54         0.00      0.00      0.00      0.00
06:42:59         0.00      0.00      0.00      0.02
06:43:04         0.00      0.00      0.00      0.00
06:43:09         0.00      0.00      0.00      0.00
06:43:14         0.00      0.00      0.00      0.00
06:43:19         0.00      0.00      0.00      0.00
06:43:24         0.00      0.00      0.00      0.00
06:43:29         0.00      0.00      0.00      0.00
06:43:34         0.00      0.00      0.00      0.00
06:43:39         0.00      0.00      0.00      0.00
06:43:44         0.00      0.00      0.00      0.00
06:43:49         0.00      0.00      0.00      0.00
06:43:54         0.00      0.00      0.00      0.00
06:43:59         0.00      0.00      0.00      0.00
06:44:04         0.00      0.00      0.00      0.00
06:44:09         0.00      0.00      0.00      0.00
06:44:14         0.00      0.00      0.00      0.00
06:44:19         0.00      0.00      0.00      0.00
06:44:24         0.00      0.00      0.00      0.00
06:44:29         0.00      0.00      0.00      0.00
06:44:34         0.00      0.00      0.00      0.00
06:44:39         0.00      0.00      0.00      0.00
06:44:44         0.00      0.00      0.00      0.00
06:44:49         0.00      0.00      0.00      0.00
06:44:54         0.00      0.00      0.00      0.00
06:44:59         0.00      0.00      0.00      0.00
06:45:04         0.00      0.00      0.00      0.00
06:45:09         0.00      0.00      0.00      0.00
06:45:14         0.00      0.00      0.00      0.01
06:45:19         0.00      0.00      0.00      0.01
06:45:24         0.00      0.00      0.00      0.01
06:45:29         0.00      0.00      0.00      0.01
06:45:34         0.00      0.00      0.00      0.01
